jobName,position,company_name,company_size,company_type,salary
置业顾问+数据分析+法律咨询+客户代表,上海,上海链家地产,10000人以上 ,民营 ,8千-1.5万
管培生+底薪8k+数据分析+带薪培训,上海-静安,德佑房地产经纪有限公司第一千一百九十五分公司,10000人以上 ,民营 ,1.5万-3万
数据分析主管-上海,上海-浦东,南昌传发金融信息服务有限公司,1000-9999人 ,民营 ,1.5万-2.5万
监控数据分析员（可提供住宿）,上海,宝星智能科技(上海)有限公司,300-499人 ,民营 ,4千-6千
研究经理（大数据分析项目）,上海-静安,上海飞观信息科技有限公司,100-299人 ,民营 ,1.5万-2.5万
销售顾问＋数据分析+资产管理专家,上海-宝山,上海链家地产,10000人以上 ,民营 ,8千-1.4万
数据分析+底薪8K+住宿+带薪培训+国内旅游,上海-静安,德佑房地产经纪有限公司第一千一百九十五分公司,10000人以上 ,民营 ,1.5万-3万
贝壳市场经理+ 双网运营+大数据分析+VR看房+保障薪8000+管培生/领航家/应届生,上海-闵行,德佑房地产经纪有限公司第八百四十九分公司, , ,5千-9千
证券交易数据分析（外派光大证券）,上海-静安,上海启明软件股份有限公司,300-499人 ,股份制企业 ,1.5万-1.9万
合规高级经理，三方管理及数据分析,上海-静安,上海博源资产管理有限公司,100-299人 ,其它 ,3.5万-6万
1实习月薪8K起+置业数据分析+住宿方案+上市企业闵行,上海-闵行,上海链家地产,10000人以上 ,民营 ,8千-1.6万
贝壳市场经理+ 双网运营+大数据分析+VR看房+保障薪8000+管培生/领航家/应届生,上海-普陀,德佑房地产经纪有限公司第八百四十九分公司, , ,5千-9千
市场运营+产品运营+数据分析——1,上海-徐汇,上海链家地产,10000人以上 ,民营 ,1.7万-1.8万
o2o形式+95后年轻团队+专业顾问，数据分析,上海-黄浦,上海链家地产,10000人以上 ,民营 ,8千-1.5万
国民链家+市场数据分析＋管培生底薪8000,上海-杨浦,上海链家地产,10000人以上 ,民营 ,9千-1.7万
销售运营 —专业分析--数据分析,上海-闵行,上海链家地产,10000人以上 ,民营 ,8千-1.6万
销售顾问＋数据分析+资产管理专家,上海-松江,上海链家地产,10000人以上 ,民营 ,8千-1.6万
上市公司+房产管培生+运营经理+数据分析——1,上海-徐汇,上海链家地产,10000人以上 ,民营 ,8千-1.6万
VR互联网房产销售/就近安排/月薪10K起 用户运营数据分析,上海,上海链家地产,10000人以上 ,民营 ,1万-2万
上市公司+房产管培生+运营经理+数据分析——2,上海-徐汇,上海链家地产,10000人以上 ,民营 ,8千-1.6万
上海贝壳集团总部直聘数据分析专员+营销管培生+保障薪资8k+20%-70%提成,上海-黄浦,上海链家地产,10000人以上 ,民营 ,8千-1.3万
客户经理，数据分析+上市公司，文化氛围好+完善体制,上海-闵行,上海链家地产,10000人以上 ,民营 ,8千-1.5万
500强企业“贝壳找房”管理培训生+22-23届本科优先+数据分析专业优先,上海-黄浦,上海链家地产,10000人以上 ,民营 ,8千-1.5万
市场运营+产品运营+数据分析——3,上海-徐汇,上海链家地产,10000人以上 ,民营 ,1.7万-1.8万
贝壳科技管培生-住宿方案 保障8K+置业顾问 数据分析运营,上海-闵行,上海链家地产,10000人以上 ,民营 ,8千-1.6万
管培生房地产-提供住宿方案-数据分析运营-8K起,上海-闵行,上海链家地产,10000人以上 ,民营 ,8千-1.6万
保障年薪10万起 互联网 数据分析 五险一金 大平台+置业顾问,上海-浦东,上海链家地产,10000人以上 ,民营 ,8千-1.5万
500强上市公司 数据分析 运营管理培训生,上海-静安,上海链家地产,10000人以上 ,民营 ,1.1万-1.8万
上海贝壳集团直聘销售精英，保障8k+20%-70%提成，互联网+模式，数据分析能力优先,上海-黄浦,上海链家地产,10000人以上 ,民营 ,8千-1.3万
500强上市公司 数据分析 运营管理培训生,上海-松江,上海链家地产,10000人以上 ,民营 ,1.1万-1.8万
知名日企电商数据分析员-英语4964,上海-长宁,上海霓索人力资源服务有限公司,20人以下 ,合资 ,1.1万-1.6万
大数据开发-数据分析-核心岗位-口语面试-央企-不加班,上海-徐汇,中电金信软件有限公司,10000人以上 ,国企 ,1.9万-3.5万
快递数据分析员,上海,中通快递,10000人以上 ,股份制企业 ,5千-7千
数据分析经理-上海,上海-浦东,南昌传发金融信息服务有限公司,1000-9999人 ,民营 ,2万-3万
数据分析建模-浦东,上海-浦东,上海复深蓝软件股份有限公司,1000-9999人 ,上市公司 ,1.8万-3万
1实习月薪8K起+置业数据分析+住宿方案+上市企业闵行,上海-松江,上海链家地产,10000人以上 ,民营 ,8千-1.1万
芯片产品工程师-数据分析,上海-浦东,超威半导体(上海)有限公司,10000人以上 ,外商独资 ,2万-4万
数据分析与应用岗G01847,上海-青浦,东浩人力资源,100-299人 ,国企 ,1.2万-1.4万
数据分析与测试工程师,上海-杨浦,江苏金智锐智能科技有限公司,300-499人 ,民营 ,1万-1.5万
大气污染防治分析工程师（数据分析）,上海-静安,无锡中科光电技术有限公司,1000-9999人 ,上市公司 ,6千-1万
上市公司+管培生+运营经理+数据分析——2,上海-徐汇,上海链家地产,10000人以上 ,民营 ,8千-1.6万
数据分析（做过反洗钱和了解前端技术优先）,上海-静安,上海启明软件股份有限公司,300-499人 ,股份制企业 ,1.6万-1.9万
平台大数据分析工程师,上海-徐汇,上海市建筑科学研究院有限公司,500-999人 ,国企 ,8千-1.2万
病理数据分析员,上海-徐汇,云准医药科技(上海)有限公司,20-99人 ,民营 ,1万-1.2万
客户关怀员工（数据分析方向）,上海,交银企业管理服务(上海)有限公司张江高科技园区分公司,1000-9999人 ,国企 ,5千-8千
上市公司+管培生+运营经理+数据分析——1,上海-徐汇,上海链家地产,10000人以上 ,民营 ,8千-1.6万
客服中心数据分析,上海-杨浦,上海识装信息科技有限公司,1000-9999人 ,民营 ,1.5万-2万
数据分析经理,上海-浦东,智联猎头,1000-9999人 ,上市公司 ,2万-2.2万
CRM数据分析副经理,上海-静安,联宇宝姿(厦门)实业有限公司,1000-9999人 ,外商独资 ,1.5万-2万
游戏数据分析组长,上海-徐汇,厦门真有趣信息科技有限公司,300-499人 ,民营 ,2万-4万
1实习月薪8K起+置业数据分析+住宿方案+上市企业闵行,上海-闵行,上海链家地产,10000人以上 ,民营 ,8千-1.6万
三产经理（方案、策划、数据分析、内务对接）,上海-浦东,麦金地,10000人以上 ,股份制企业 ,8千-1.5万
商业数据分析总监,上海-徐汇,上海企盈信息技术有限公司,500-999人 ,上市公司 ,3万-5.5万
大数据分析工程师,上海,中电投融和融资租赁有限公司,100-299人 ,国企 ,1.7万-3万
数据分析经理,上海-松江,上海贝业新兄弟供应链管理有限公司,1000-9999人 ,合资 ,1.2万-1.7万
实习月薪8K起+置业数据分析+住宿方案+上市企业闵行,上海,上海链家地产,10000人以上 ,民营 ,8千-1.6万
策略管理员工（数据分析）,上海,交银企业管理服务(上海)有限公司张江高科技园区分公司,1000-9999人 ,国企 ,4千-6千
数据分析及财务系统支持（外服集团 国有上市公司）,上海-虹口,上海外服杰浦企业管理有限公司,100-299人 ,国企 ,7千-1万
Data Scientist Manager 数据分析经理,上海-浦东,玛泽咨询(上海)有限公司,100-299人 ,其它 ,3万-5万
数据分析与挖掘工程师,上海-浦东,上海天律信息技术有限公司,20-99人 ,民营 ,1.5万-2.2万
Data Analysis数据分析专员,上海-长宁,上海柏迦科技有限公司,100-299人 ,合资 ,8千-1万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
数据分析（双休+高薪）,上海-闵行,杭州乐麦信息科技,1000-9999人 ,外商独资 ,1.5万-3万
仁数3.0-数据分析（外派联仁）-上海,上海-浦东,同方鼎欣科技股份有限公司,1000-9999人 ,股份制企业 ,1.4万-1.7万
数据分析（销售支持）——实习生,上海,旺旺集团,10000人以上 ,上市公司 ,100-200/天
大数据分析专员,上海-浦东,软通动力信息技术(集团)股份有限公司,10000人以上 ,民营 ,9千-1.1万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
数据分析专员（盒马）,上海-浦东,深圳万科祥盈管理服务有限公司,1000-9999人 ,上市公司 ,7千-8千
销售数据分析,上海-杨浦,科锐尔人力资源服务(苏州)有限公司,1000-9999人 ,上市公司 ,6千-7千
数据分析助理（新渠道）,上海-闵行,旺旺集团,10000人以上 ,上市公司 ,6千-8千
销售数据分析Contingent Business Support,上海-黄浦,科锐国际,1000-9999人 ,合资 ,1.5万-2万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
销售数据分析,上海-浦东,浙江绍兴鼎晶生物医药科技股份有限公司,20-99人 ,上市公司 ,8千-1.6万
数据分析专员（餐饮服务方向）,上海-松江,上海欢乐谷,1000-9999人 ,国企 ,6千-8千
商业数据分析总监,上海,上海企盈信息技术有限公司,500-999人 ,上市公司 ,3.5万-5.5万
软件工程师（前后端/测试/算法/数据开发/DBA/数据分析）,上海-浦东,外企德科,1000-9999人 ,合资 ,1.5万-3万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
数据分析主管/经理-汉高施华蔻外包项目,上海-杨浦,电声股份,1000-9999人 ,合资 ,9千-1万
数据分析-金融行业（常驻大厂-包三餐双休）,上海-闵行,软通动力信息技术(集团)股份有限公司,10000人以上 ,民营 ,1.5万-2万
财务数据分析（会计）,上海,上海汉诚装饰设计工程有限公司,100-299人 ,民营 ,8千-1万
金融数据分析经理,上海-浦东,沈阳思诺科技有限公司,100-299人 ,民营 ,2.5万-3万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
数据分析类管培生,上海-青浦,韵达快递,10000人以上 ,上市公司 ,7千-1.2万
数据分析工程师（上海）,上海-浦东,上海华讯网络系统有限公司,1000-9999人 ,国企 ,1.5万-3万
BA数据分析,上海-徐汇,江苏鑫瑞源科技有限公司,20-99人 ,民营 ,1.2万-1.6万
数据分析工程师,上海-嘉定,上海淞泓智能汽车科技有限公司,20-99人 ,国企 ,1.1万-1.6万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
数据分析专员-上海,上海-浦东,南昌传发金融信息服务有限公司,1000-9999人 ,民营 ,9千-1.2万
悦享数据分析实习生 (T5030),上海,上海蔚来汽车有限公司,10000人以上 ,上市公司 ,200-210/天
知名外资财务数据分析员（短期六个月）,上海-徐汇,任仕达企业管理(上海)有限公司深圳分公司,100-299人 ,外商独资 ,6千-8千
财务数据分析（财务团队）,上海-黄浦,外企德科,1000-9999人 ,合资 ,8千-1万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
Python大数据分析特训营课程上海/培训招生,上海-黄浦,51Testing,100-299人 ,民营 ,8千-1.2万
数据分析专家,上海-青浦,申通快递,10000人以上 ,上市公司 ,1.5万-3万
数据分析经理,上海-浦东,宏信建发,1000-9999人 ,合资 ,1.3万-1.7万
数据分析经理,上海-浦东,杭州山创科技有限公司,20-99人 , ,1.7万-2.6万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
500强上市名企 数据分析 运营管理 解决方案提供者,上海-宝山,上海链家地产,10000人以上 ,民营 ,1.2万-1.8万
创新业务研发岗（金融数据分析方向）,上海-黄浦,智联猎头,1000-9999人 ,上市公司 ,2万-3.5万
商业数据分析,上海-徐汇,博彦科技,10000人以上 ,上市公司 ,1.5万-1.7万
创新产品助理经理（商业数据分析）,上海-徐汇,上海成达高级人才顾问有限公司,20-99人 ,国企 ,1.5万-2万
Data analysis数据分析-外企消费类电子A公司,上海,软通动力信息技术(集团)股份有限公司,10000人以上 ,民营 ,1.8万-2.5万
数据分析实习生,上海,上海链家地产,10000人以上 ,民营 ,3千-5千
数据分析经理（治理方向）,上海-浦东,上海交银信息数据有限公司,1000-9999人 ,国企 ,1.6万-3万
数据分析与应用岗位-国家会展中心（上海）,上海-青浦,东浩人力资源,100-299人 ,国企 ,1.2万-1.3万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
数据分析工程师-理想汽车,上海-嘉定,科锐国际,1000-9999人 ,合资 ,1.5万-2万
测试数据分析工程师【自动驾驶业务】,上海-徐汇,柯莱特科技有限责任公司,1000-9999人 ,民营 ,7千-1万
数据分析专家,上海-浦东,上海交银信息数据有限公司,1000-9999人 ,国企 ,4万-5万
数据分析工程师,上海-杨浦,上海回城信息科技咨询中心, , ,1.5万-2万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
（Senior）Operation Specialist（偏数据分析，外资500强医疗器械公司）,上海-徐汇,科锐国际,1000-9999人 ,合资 ,1万-1.3万
数据分析开发工程师,上海-静安,博彦集智科技有限公司,10000人以上 ,股份制企业 ,1.4万-1.8万
行政助理+数据分析师+职业经纪人,上海-静安,上海链家地产,10000人以上 ,民营 ,8千-1.6万
数据分析工程师,上海-普陀,普乐师(上海)数字科技有限公司,300-499人 ,民营 ,1.5万-2万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
数据分析经理,上海-浦东,上海交银信息数据有限公司,1000-9999人 ,国企 ,1.5万-2.8万
数据分析经理,上海-静安,北京仕邦达人力资源服务有限公司上海分公司,100-299人 ,合资 ,3万-4万
数据分析工程师,上海,上海康耐仕人力资源服务有限公司,20-99人 ,外商独资 ,2万-3万
财务数据分析 (MJ000542),上海-徐汇,首旅如家酒店集团,10000人以上 ,国企 ,1万-1.5万
Data Analysis数据分析专员,上海-徐汇,上海柏迦科技有限公司,100-299人 ,合资 ,8千-1万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
金融数据分析经理,上海-浦东,沈阳思诺科技有限公司,100-299人 ,民营 ,2万-2.9万
量化数据分析实习生（Python）,上海-浦东,上海仲阳天王星数据科技有限公司,20-99人 ,民营 ,300-600/天
数据分析经理,上海-闵行,杭州乐麦信息科技,1000-9999人 ,外商独资 ,2万-3.5万
数据分析工程师-2023秋招G00666,上海-浦东,上海数慧系统技术有限公司,500-999人 ,民营 ,7千-1万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
电商数据分析实习生（可留用）,上海-静安,新略数智(杭州)科技有限公司,20-99人 ,民营 ,190-200/天
综合专员（会可视化数据分析）,上海-浦东,深圳万科祥盈管理服务有限公司,1000-9999人 ,上市公司 ,6千-7千
电商数据分析主管,上海,尤妮佳,500-999人 ,外商独资 ,1万-1.5万
数据分析工程师,上海-嘉定,上海网钜信息科技有限公司,20-99人 ,民营 ,1.5万-2.2万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
数据分析工程师,上海-松江,重庆超硅半导体有限公司,1000-9999人 ,民营 ,1.5万-3万
数据分析建模师,上海-浦东,合肥凯捷技术有限公司,500-999人 ,外商独资 ,1.8万-2.2万
销售数据分析-Key上海,上海,上海古道商务咨询有限公司,100-299人 ,民营 ,8千-1.1万
行政储备干部 (数据分析）,上海,沛华运通国际物流(中国)有限公司,500-999人 ,外商独资 ,6千-1万
中高级数据分析-非外包-朝九晚五,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.4万-1.8万
数据分析专员(J16836),上海-虹口,高顿教育,1000-9999人 ,民营 ,1.2万-1.8万
数据分析专员,上海-浦东,上海汉启通信设备发展有限公司,100-299人 ,民营 ,6千-8千
数据分析助理（第三方派遣）,上海,三井住友银行(中国)有限公司,1000-9999人 ,外商独资 ,面议
数据分析专员（商品经营方向）,上海-松江,上海欢乐谷,1000-9999人 ,国企 ,6千-8千
数据分析（14薪、早九晚五、不加班）,上海-浦东,深圳南区人瑞人力资源服务有限公司,10000人以上 ,上市公司 ,1.5万-2万
