title,region,block,community,area,toward,type,rent,time
整租·人民新村社区 2室1厅 东/西,芙蓉区,火车站,人民新村社区,59.81㎡,东 西,2室1厅1卫 高楼层（6层）,1500元/月,10天前维护
整租·山水印象 3室2厅 东南,天心区,暮云,山水印象,118.00㎡,东南,3室2厅2卫 中楼层（9层）,1600元/月,7天前维护
整租·上海城 3室2厅 南/北,雨花区,韶山南路,上海城,114.87㎡,南 北,3室2厅2卫 高楼层（33层）,2800元/月,2天前维护
合租·朝阳欣园 4居室 南卧,雨花区,桂花村,朝阳欣园,22.00㎡,南,4室1厅2卫 高楼层（9层）,1150元/月,15天前维护
整租·农科家园 1室1厅 南,芙蓉区,马王堆,农科家园,30.00㎡,南,1室1厅1卫 高楼层（6层）,1740元/月,7天前维护
整租·保利国际广场 1室1厅 南,天心区,书院路,保利国际广场,46.00㎡,南,1室1厅1卫 中楼层（51层）,3000元/月,8天前维护
整租·香颂国际 1室1厅 北,雨花区,韶山南路,香颂国际,43.00㎡,北,1室1厅1卫 高楼层（30层）,1600元/月,13天前维护
整租·通号岭绣苑 4室2厅 南,岳麓区,望城区,通号岭绣苑,122.00㎡,南,4室2厅2卫 低楼层（28层）,2700元/月,2天前维护
整租·长沙有色冶金设计院 3室1厅 南,芙蓉区,浏城桥,长沙有色冶金设计院,77.00㎡,南,3室1厅1卫 高楼层（6层）,2400元/月,10天前维护
整租·卓越浅水湾 1室1厅 西南,岳麓区,梅溪湖南岸,卓越浅水湾,35.00㎡,西南,1室1厅1卫 高楼层（45层）,2300元/月,1天前维护
整租·合能雨花公馆 1室1厅 东南,雨花区,武广新城,合能雨花公馆,30.00㎡,东南,1室1厅1卫 中楼层（26层）,1400元/月,3天前维护
整租·嘉顿新天地 1室1厅 南,天心区,五一广场,嘉顿新天地,56.00㎡,南,1室1厅1卫 高楼层（27层）,2680元/月,2天前维护
整租·阳光城檀悦 1室1厅 东南,开福区,松桂园,阳光城檀悦,43.00㎡,东南,1室1厅1卫 低楼层（34层）,2998元/月,1天前维护
整租·启迪协信中心 2室1厅 东,岳麓区,观沙岭,启迪协信中心,66.00㎡,东,2室1厅1卫 低楼层（43层）,3200元/月,7天前维护
合租·芙蓉区教师村 4居室 南卧,芙蓉区,德政园,芙蓉区教师村,22.00㎡,南,4室1厅1卫 高楼层（7层）,900元/月,11天前维护
整租·金茂梅溪湖 4室2厅 南/北,岳麓区,梅溪湖南岸,金茂梅溪湖,133.60㎡,南 北,4室2厅2卫 高楼层（32层）,9000元/月,3天前维护
整租·东塘瑞府 1室0厅 南,雨花区,左家塘,东塘瑞府,45.00㎡,南,1室0厅1卫 中楼层（34层）,2600元/月,4天前维护
整租·福天藏郡 1室1厅 南,天心区,暮云,福天藏郡,36.00㎡,南,1室1厅1卫 低楼层（20层）,1500元/月,12天前维护
整租·建发央玺 2室1厅 南,雨花区,雨花亭,建发央玺,43.00㎡,南,2室1厅1卫 中楼层（20层）,3000元/月,12天前维护
整租·长沙奥林匹克花园 5室2厅 西南,天心区,德思勤,长沙奥林匹克花园,248.00㎡,西南,5室2厅3卫 低楼层（15层）,9000元/月,2天前维护
整租·合能雨花公馆 1室1厅 东南,雨花区,武广新城,合能雨花公馆,30.00㎡,东南,1室1厅1卫 中楼层（26层）,1400元/月,3天前维护
整租·合能雨花公馆 1室1厅 东南,雨花区,武广新城,合能雨花公馆,28.00㎡,东南,1室1厅1卫 低楼层（26层）,1350元/月,3天前维护
整租·建发央玺 2室1厅 南,雨花区,雨花亭,建发央玺,43.00㎡,南,2室1厅1卫 中楼层（20层）,3000元/月,12天前维护
整租·童话里 3室2厅 南,天心区,新开铺,童话里,87.63㎡,南,3室2厅1卫 低楼层（31层）,2200元/月,14天前维护
整租·红星蔬菜批发市场 1室1厅 东南,雨花区,汽车南站,红星蔬菜批发市场,30.00㎡,东南,1室1厅1卫 中楼层（5层）,1298元/月,3天前维护
整租·珠江花城二期 3室2厅 南,开福区,福元西路,珠江花城二期,131.00㎡,南,3室2厅2卫 低楼层（17层）,2900元/月,10天前维护
整租·红星蔬菜批发市场 1室1厅 东南,雨花区,汽车南站,红星蔬菜批发市场,30.00㎡,东南,1室1厅1卫 中楼层（5层）,1298元/月,3天前维护
整租·融创融公馆 3室2厅 南,岳麓区,含浦,融创融公馆,115.50㎡,南,3室2厅2卫 高楼层（33层）,1000元/月,8天前维护
整租·交通设计院陈家湖宿舍 3室1厅 南,开福区,北辰三角洲,交通设计院陈家湖宿舍,85.00㎡,南,3室1厅1卫 低楼层（8层）,2200元/月,12天前维护
整租·红星蔬菜批发市场 1室1厅 东南,雨花区,汽车南站,红星蔬菜批发市场,30.00㎡,东南,1室1厅1卫 中楼层（5层）,1298元/月,3天前维护
整租·红星蔬菜批发市场 1室1厅 东南,雨花区,汽车南站,红星蔬菜批发市场,30.00㎡,东南,1室1厅1卫 中楼层（5层）,1298元/月,3天前维护
整租·时代星城 1室1厅 南,长沙县区,泉塘,时代星城,45.00㎡,南,1室1厅1卫 高楼层（29层）,1200元/月,2天前维护
整租·尚都花园城 1室1厅 南,长沙县区,泉塘,尚都花园城,58.74㎡,南,1室1厅1卫 中楼层（32层）,1100元/月,13天前维护
整租·中航城 4室2厅 南/北,雨花区,万家丽南路,中航城,139.00㎡,南 北,4室2厅2卫 低楼层（28层）,1500元/月,8天前维护
整租·弘坤云寓 2室1厅 东南,开福区,月湖,弘坤云寓,39.00㎡,东南,2室1厅1卫 高楼层（34层）,3000元/月,11天前维护
整租·合能雨花公馆 1室1厅 东南,雨花区,武广新城,合能雨花公馆,28.00㎡,东南,1室1厅1卫 低楼层（26层）,1350元/月,3天前维护
整租·合能雨花公馆 1室1厅 东南,雨花区,武广新城,合能雨花公馆,30.00㎡,东南,1室1厅1卫 低楼层（26层）,1350元/月,5天前维护
整租·达美溪湖湾 2室1厅 北,岳麓区,梅溪湖南岸,达美溪湖湾,76.00㎡,北,2室1厅2卫 高楼层（31层）,4200元/月,8天前维护
整租·华盛家园 3室2厅 南/北,天心区,金盆岭,华盛家园,130.00㎡,南 北,3室2厅2卫 高楼层（14层）,2700元/月,1天前维护
整租·新华南苑 3室1厅 南/北,天心区,铁道学院,新华南苑,90.00㎡,南 北,3室1厅1卫 中楼层（6层）,1500元/月,5天前维护
整租·中城丽景香山 3室2厅 南,雨花区,武广新城,中城丽景香山,138.00㎡,南,3室2厅2卫 中楼层（4层）,5000元/月,1天前维护
整租·中海熙湾 4室2厅 东南,岳麓区,梅溪湖南岸,中海熙湾,200.00㎡,东南,4室2厅3卫 中楼层（45层）,9000元/月,4天前维护
整租·北辰三角洲C2区 3室1厅 南/北,开福区,北辰三角洲,北辰三角洲C2区,103.63㎡,南 北,3室1厅1卫 中楼层（55层）,2350元/月,8天前维护
整租·维一星城国际 4室2厅 南,芙蓉区,浏城桥,维一星城国际,130.00㎡,南,4室2厅2卫 高楼层（28层）,5200元/月,2天前维护
整租·红星蔬菜批发市场 1室1厅 东南,雨花区,汽车南站,红星蔬菜批发市场,30.00㎡,东南,1室1厅1卫 中楼层（5层）,1298元/月,3天前维护
整租·红星蔬菜批发市场 1室1厅 东南,雨花区,汽车南站,红星蔬菜批发市场,28.00㎡,东南,1室1厅1卫 中楼层（5层）,1000元/月,3天前维护
整租·尚都花园城 1室1厅 南,长沙县区,泉塘,尚都花园城,58.00㎡,南,1室1厅1卫 中楼层（32层）,1180元/月,11天前维护
整租·钱隆世家 2室2厅 南,开福区,金霞,钱隆世家,80.15㎡,南,2室2厅3卫 低楼层（33层）,1600元/月,3天前维护
整租·合能雨花公馆 1室1厅 东南,雨花区,武广新城,合能雨花公馆,30.00㎡,东南,1室1厅1卫 中楼层（26层）,1450元/月,3天前维护
整租·盛地尊域 3室2厅 南/北,长沙县区,万家丽北,盛地尊域,123.00㎡,南 北,3室2厅2卫 中楼层（31层）,2500元/月,5天前维护
整租·华远国际公寓 1室1厅 西,天心区,五一广场,华远国际公寓,52.00㎡,西,1室1厅1卫 低楼层（52层）,4000元/月,3天前维护
整租·郡原广场 1室1厅 南,岳麓区,河西步步高,郡原广场,69.00㎡,南,1室1厅1卫 高楼层（23层）,3500元/月,3天前维护
整租·德思勤城市广场 1室1厅 东南/南,雨花区,德思勤,德思勤城市广场,50.00㎡,东南 南,1室1厅1卫 高楼层（27层）,2000元/月,9天前维护
整租·卓越浅水湾 3室2厅 南,岳麓区,梅溪湖南岸,卓越浅水湾,100.00㎡,南,3室2厅1卫 中楼层（33层）,2700元/月,2天前维护
整租·雄新水印廊桥 3室2厅 南,开福区,福元西路,雄新水印廊桥,88.46㎡,南,3室2厅1卫 高楼层（34层）,2000元/月,3天前维护
整租·国税五分局桔园宿舍 3室2厅 南/北,雨花区,雨花亭,国税五分局桔园宿舍,120.00㎡,南 北,3室2厅2卫 低楼层（8层）,2600元/月,10天前维护
整租·金鹰玖瓏山 3室2厅 南,岳麓区,麓谷西,金鹰玖瓏山,90.00㎡,南,3室2厅1卫 中楼层（31层）,2700元/月,2天前维护
整租·五矿紫湖香醍 4室2厅 南,天心区,暮云,五矿紫湖香醍,120.00㎡,南,4室2厅2卫 低楼层（18层）,2800元/月,2天前维护
整租·北辰三角洲C2区 4室2厅 南,开福区,北辰三角洲,北辰三角洲C2区,142.00㎡,南,4室2厅2卫 中楼层（55层）,4500元/月,2天前维护
整租·月桂社区 2室2厅 南,芙蓉区,马王堆,月桂社区,60.00㎡,南,2室2厅1卫 低楼层（7层）,1500元/月,2天前维护
整租·湖南省交通科学研究所 3室1厅 南,天心区,金盆岭,湖南省交通科学研究所,80.00㎡,南,3室1厅1卫 中楼层（5层）,2500元/月,4天前维护
合租·丰升德润 5居室 南卧,雨花区,喜盈门,丰升德润,16.00㎡,南,5室0厅2卫 高楼层（25层）,850元/月,4天前维护
整租·西城龙庭 4室2厅 南,岳麓区,河西步步高,西城龙庭,130.00㎡,南,4室2厅2卫 中楼层（28层）,3100元/月,1天前维护
合租·麓阳和景雅苑 4居室 东南卧,岳麓区,汽车西站,麓阳和景雅苑,20.00㎡,东南,4室0厅3卫 中楼层（20层）,1208元/月,20天前维护
整租·东怡外国 2室1厅 南,天心区,黄土岭,东怡外国,60.00㎡,南,2室1厅1卫 中楼层（32层）,2500元/月,7天前维护
合租·中国铁建梅溪青秀 4居室 东南卧,岳麓区,梅溪湖北岸,中国铁建梅溪青秀,15.00㎡,东南,4室1厅2卫 中楼层（34层）,708元/月,2天前维护
整租·新城和樾 1室1厅 南,开福区,金霞,新城和樾,36.00㎡,南,1室1厅1卫 低楼层（31层）,1200元/月,4天前维护
合租·宝庆金都 4居室 南卧,芙蓉区,火车站,宝庆金都,25.00㎡,南,4室1厅1卫 中楼层（9层）,1150元/月,15天前维护
整租·中一鲲出 2室1厅 东,岳麓区,银盆岭,中一鲲出,46.74㎡,东,2室1厅1卫 中楼层（30层）,3500元/月,4天前维护
合租·省煤炭局机关宿舍 4居室 南卧,芙蓉区,市一中,省煤炭局机关宿舍,20.00㎡,南,4室1厅1卫 高楼层（6层）,999元/月,8天前维护
整租·恒大翡翠华庭 3室2厅 南,长沙县区,开元路,恒大翡翠华庭,121.00㎡,南,3室2厅2卫 高楼层（27层）,2800元/月,10天前维护
合租·翡翠华庭 5居室 南卧,岳麓区,麓谷东,翡翠华庭,19.00㎡,南,5室0厅3卫 低楼层（26层）,858元/月,3天前维护
整租·振业城 2室2厅 东南,岳麓区,梅溪湖北岸,振业城,50.00㎡,东南,2室2厅1卫 中楼层（21层）,2800元/月,5天前维护
合租·麓阳和景雅苑 4居室 南卧,岳麓区,汽车西站,麓阳和景雅苑,20.00㎡,南,4室0厅3卫 高楼层（19层）,1208元/月,20天前维护
整租·龙湖新壹城 2室2厅 南,岳麓区,洋湖垸,龙湖新壹城,37.63㎡,南,2室2厅1卫 低楼层（22层）,3000元/月,11天前维护
整租·红星蔬菜批发市场 1室1厅 东南,雨花区,汽车南站,红星蔬菜批发市场,30.00㎡,东南,1室1厅1卫 中楼层（5层）,1298元/月,3天前维护
整租·北辰三角洲D2区 3室1厅 南,开福区,北辰三角洲,北辰三角洲D2区,106.00㎡,南,3室1厅1卫 高楼层（48层）,4000元/月,1天前维护
整租·红星蔬菜批发市场 1室1厅 东南,雨花区,汽车南站,红星蔬菜批发市场,30.00㎡,东南,1室1厅1卫 中楼层（5层）,1298元/月,3天前维护
整租·天晟海拔东方 2室2厅 西南,雨花区,武广新城,天晟海拔东方,98.00㎡,西南,2室2厅1卫 中楼层（32层）,1500元/月,10天前维护
整租·红星蔬菜批发市场 1室1厅 东南,雨花区,汽车南站,红星蔬菜批发市场,30.00㎡,东南,1室1厅1卫 中楼层（5层）,1298元/月,3天前维护
整租·金富星澜之悦 3室2厅 南,望城区,金星北,金富星澜之悦,89.00㎡,南,3室2厅2卫 中楼层（32层）,2100元/月,7天前维护
整租·复地星光天地 2室1厅 东南/南,雨花区,德思勤,复地星光天地,65.00㎡,东南 南,2室1厅1卫 低楼层（29层）,3200元/月,10天前维护
整租·嘉逸名庭 2室2厅 南,岳麓区,商学院,嘉逸名庭,96.00㎡,南,2室2厅1卫 中楼层（18层）,2400元/月,2天前维护
整租·勤诚达新界 4室2厅 南,望城区,金星北,勤诚达新界,135.00㎡,南,4室2厅2卫 中楼层（11层）,2400元/月,1天前维护
整租·东上一品 2室1厅 东南,雨花区,东塘,东上一品,60.00㎡,东南,2室1厅1卫 中楼层（32层）,1900元/月,1天前维护
整租·恒大华府 1室0厅 北,岳麓区,市政府,恒大华府,35.00㎡,北,1室0厅1卫 低楼层（32层）,1300元/月,5天前维护
整租·复地星光天地 1室1厅 东南/南,雨花区,德思勤,复地星光天地,32.00㎡,东南 南,1室1厅1卫 低楼层（29层）,1800元/月,2天前维护
整租·壹号公馆 2室1厅 东,芙蓉区,松桂园,壹号公馆,80.00㎡,东,2室1厅1卫 中楼层（32层）,4500元/月,12天前维护
合租·麓阳和景雅苑 5居室 南卧,岳麓区,汽车西站,麓阳和景雅苑,25.00㎡,南,5室0厅3卫 中楼层（23层）,1258元/月,19天前维护
整租·钰龙天下二期 2室1厅 南,岳麓区,观沙岭,钰龙天下二期,78.00㎡,南,2室1厅1卫 低楼层（33层）,2200元/月,8天前维护
合租·上海城 5居室 南卧,雨花区,韶山南路,上海城,19.00㎡,南,5室0厅2卫 高楼层（33层）,800元/月,4天前维护
整租·达美溪湖湾 1室1厅 南,岳麓区,梅溪湖南岸,达美溪湖湾,46.00㎡,南,1室1厅1卫 中楼层（31层）,4500元/月,8天前维护
整租·红星蔬菜批发市场 1室1厅 东南,雨花区,汽车南站,红星蔬菜批发市场,30.00㎡,东南,1室1厅1卫 中楼层（5层）,1298元/月,3天前维护
整租·南湖公寓 1室1厅 南/北,天心区,黄土岭,南湖公寓,40.00㎡,南 北,1室1厅1卫 中楼层（8层）,1100元/月,3天前维护
整租·红星蔬菜批发市场 1室1厅 东南,雨花区,汽车南站,红星蔬菜批发市场,28.00㎡,东南,1室1厅1卫 中楼层（5层）,1000元/月,3天前维护
整租·华丽家族 4室2厅 南/西,天心区,南郊公园,华丽家族,151.06㎡,南 西,4室2厅2卫 高楼层（16层）,2600元/月,4天前维护
整租·北辰三角洲奥城E4区 1室1厅 东南,开福区,北辰三角洲,北辰三角洲奥城E4区,51.00㎡,东南,1室1厅1卫 高楼层（45层）,2400元/月,2天前维护
整租·锦泰家园 5室2厅 南,芙蓉区,火车站,锦泰家园,220.00㎡,南,5室2厅3卫 高楼层（12层）,5500元/月,10天前维护
合租·潮宗街社区 5居室 南卧,开福区,松桂园,潮宗街社区,25.00㎡,南,5室1厅2卫 高楼层（6层）,1228元/月,4天前维护
整租·东城港 1室1厅 南,雨花区,武广新城,东城港,44.00㎡,南,1室1厅1卫 中楼层（32层）,1500元/月,2天前维护
整租·众东国际 1室1厅 南,天心区,东塘,众东国际,36.36㎡,南,1室1厅1卫 低楼层（29层）,2000元/月,14天前维护
整租·童话里 3室2厅 南,天心区,新开铺,童话里,88.00㎡,南,3室2厅1卫 高楼层（29层）,2400元/月,5天前维护
整租·华悦城 4室2厅 南,雨花区,喜盈门,华悦城,140.00㎡,南,4室2厅2卫 中楼层（26层）,5800元/月,1天前维护
合租·芙蓉苑乙区 3居室 南卧,芙蓉区,晚报,芙蓉苑乙区,25.00㎡,南,3室1厅2卫 高楼层（6层）,1000元/月,28天前维护
整租·达美D6区 1室1厅 南,岳麓区,汽车西站,达美D6区,29.58㎡,南,1室1厅1卫 低楼层（30层）,1700元/月,8天前维护
整租·保利香槟国际 1室1厅 南,长沙县区,万家丽北,保利香槟国际,29.00㎡,南,1室1厅1卫 高楼层（26层）,1200元/月,2天前维护
整租·中一鲲出 2室1厅 西,岳麓区,银盆岭,中一鲲出,46.08㎡,西,2室1厅1卫 中楼层（30层）,3000元/月,12天前维护
合租·麓阳和景雅苑 4居室 南卧,岳麓区,汽车西站,麓阳和景雅苑,20.00㎡,南,4室0厅3卫 高楼层（19层）,1158元/月,20天前维护
整租·湖南省水电设计院宿舍 3室2厅 南,雨花区,东塘,湖南省水电设计院宿舍,120.00㎡,南,3室2厅2卫 低楼层（7层）,3000元/月,6天前维护
合租·麓阳和景雅苑 4居室 南卧,岳麓区,汽车西站,麓阳和景雅苑,15.00㎡,南,4室1厅2卫 中楼层（18层）,908元/月,17天前维护
整租·波隆城市花园 4室2厅 北,长沙县区,星沙其他,波隆城市花园,142.00㎡,北,4室2厅2卫 低楼层（32层）,2850元/月,12天前维护
合租·麓阳和景雅苑 5居室 东南卧,岳麓区,汽车西站,麓阳和景雅苑,20.00㎡,东南,5室1厅2卫 中楼层（20层）,1308元/月,17天前维护
整租·恒大雅苑 2室1厅 南,开福区,广电,恒大雅苑,92.00㎡,南,2室1厅1卫 低楼层（32层）,2415元/月,10天前维护
合租·麓阳和景雅苑 4居室 南卧,岳麓区,汽车西站,麓阳和景雅苑,23.00㎡,南,4室0厅3卫 低楼层（19层）,958元/月,19天前维护
整租·中一九骏 3室2厅 南,岳麓区,汽车西站,中一九骏,96.00㎡,南,3室2厅1卫 高楼层（32层）,3200元/月,3天前维护
整租·长盛岚庭 3室2厅 南,天心区,新开铺,长盛岚庭,116.00㎡,南,3室2厅2卫 低楼层（16层）,2700元/月,2天前维护
整租·德馨园 4室2厅 复式 南/北,雨花区,韶山南路,德馨园,100.00㎡,南 北,4室2厅2卫 高楼层（6层）,2400元/月,5天前维护
合租·丽水熙园 5居室 南卧,天心区,新开铺,丽水熙园,18.00㎡,南,5室0厅2卫 高楼层（34层）,850元/月,18天前维护
整租·万博汇名邸二期 1室1厅 西北,雨花区,雨花亭,万博汇名邸二期,42.04㎡,西北,1室1厅1卫 低楼层（32层）,1800元/月,2天前维护
整租·恒大华府 1室0厅 南,岳麓区,市政府,恒大华府,35.00㎡,南,1室0厅1卫 低楼层（32层）,1300元/月,4天前维护
整租·卢浮原著 4室2厅 南,天心区,暮云,卢浮原著,119.00㎡,南,4室2厅2卫 低楼层（15层）,2500元/月,2天前维护
整租·华远华时代 4室1厅 东,开福区,烈士公园,华远华时代,68.00㎡,东,4室1厅2卫 中楼层（55层）,6500元/月,3天前维护
整租·地泰御璟苑 3室2厅 南,雨花区,东塘,地泰御璟苑,122.00㎡,南,3室2厅2卫 低楼层（32层）,3900元/月,2天前维护
整租·融圣国际 1室1厅 南,雨花区,桂花村,融圣国际,57.00㎡,南,1室1厅1卫 中楼层（29层）,1800元/月,6天前维护
整租·地泰人民公馆 1室1厅 南,雨花区,东塘,地泰人民公馆,43.00㎡,南,1室1厅1卫 中楼层（33层）,1900元/月,7天前维护
整租·明发阅江悦府 1室1厅 南,望城区,金星北,明发阅江悦府,53.00㎡,南,1室1厅1卫 中楼层（29层）,1210元/月,15天前维护
整租·高升时代广场 1室1厅 南,雨花区,汽车南站,高升时代广场,48.00㎡,南,1室1厅1卫 中楼层（31层）,1700元/月,14天前维护
整租·万科城二期A区 3室2厅 南,开福区,福元西路,万科城二期A区,89.00㎡,南,3室2厅1卫 低楼层（17层）,2500元/月,15天前维护
整租·世嘉国际华城一期 4室2厅 南,芙蓉区,芙蓉区政府,世嘉国际华城一期,161.00㎡,南,4室2厅2卫 中楼层（18层）,5000元/月,8天前维护
整租·世茂外滩里 3室2厅 南,岳麓区,滨江新城,世茂外滩里,92.76㎡,南,3室2厅1卫 高楼层（34层）,3000元/月,5天前维护
整租·泉升同福公寓 1室1厅 东南,芙蓉区,松桂园,泉升同福公寓,44.10㎡,东南,1室1厅1卫 高楼层（29层）,2000元/月,6天前维护
整租·天峰名苑 7室3厅 复式 南/北,岳麓区,河西步步高,天峰名苑,193.18㎡,南 北,7室3厅3卫 高楼层（6层）,4000元/月,8天前维护
整租·万国城MOMA一期 3室2厅 南,开福区,福元西路,万国城MOMA一期,143.00㎡,南,3室2厅2卫 中楼层（18层）,3500元/月,4天前维护
整租·锦璨家园 3室2厅 南,长沙县区,开元路,锦璨家园,108.00㎡,南,3室2厅2卫 低楼层（32层）,1800元/月,10天前维护
整租·公园九号大都会 1室1厅 东,开福区,烈士公园,公园九号大都会,61.47㎡,东,1室1厅1卫 中楼层（19层）,3000元/月,9天前维护
合租·麓阳和景雅苑 4居室 南卧,岳麓区,汽车西站,麓阳和景雅苑,18.00㎡,南,4室0厅3卫 中楼层（20层）,908元/月,20天前维护
整租·华远华时代 2室1厅 西,开福区,烈士公园,华远华时代,40.00㎡,西,2室1厅1卫 低楼层（55层）,4200元/月,15天前维护
合租·麓阳和景雅苑 4居室 南卧,岳麓区,汽车西站,麓阳和景雅苑,25.00㎡,南,4室0厅3卫 中楼层（19层）,1358元/月,19天前维护
整租·加加大商业街 1室1厅 南,天心区,铁道学院,加加大商业街,57.00㎡,南,1室1厅1卫 中楼层（30层）,1750元/月,5天前维护
整租·森宇佳园 1室1厅 北,天心区,书院路,森宇佳园,55.00㎡,北,1室1厅1卫 高楼层（7层）,1600元/月,1天前维护
整租·圆泰长沙印 2室1厅 西南,岳麓区,银盆岭,圆泰长沙印,67.00㎡,西南,2室1厅1卫 中楼层（36层）,6500元/月,8天前维护
合租·银力家园 5居室 南卧,芙蓉区,马王堆,银力家园,18.00㎡,南,5室1厅2卫 高楼层（7层）,710元/月,5天前维护
整租·梅溪湖金茂湾 2室2厅 南,岳麓区,梅溪湖南岸,梅溪湖金茂湾,50.00㎡,南,2室2厅1卫 高楼层（43层）,4500元/月,13天前维护
整租·华远华时代 1室1厅 西,开福区,烈士公园,华远华时代,40.22㎡,西,1室1厅1卫 中楼层（26层）,3500元/月,9天前维护
整租·美林美寓 1室1厅 南/北,雨花区,武广新城,美林美寓,56.00㎡,南 北,1室1厅1卫 中楼层（30层）,1000元/月,6天前维护
整租·万博汇名邸二期 1室1厅 西南,雨花区,雨花亭,万博汇名邸二期,54.79㎡,西南,1室1厅1卫 低楼层（32层）,2500元/月,10天前维护
整租·恒大江湾 3室2厅 南,芙蓉区,汽车东站,恒大江湾,103.56㎡,南,3室2厅2卫 高楼层（32层）,2580元/月,8天前维护
整租·高信向日葵 3室2厅 南,岳麓区,金星中路,高信向日葵,91.00㎡,南,3室2厅2卫 低楼层（18层）,2600元/月,2天前维护
整租·丽发新城 5室2厅 南/北,雨花区,跳马,丽发新城,280.00㎡,南 北,5室2厅2卫 低楼层（22层）,6500元/月,7天前维护
